EMC_ID,AC,LABEL_INT_EN,LABEL_INT_FR,LABEL_EXT_EN,LABEL_EXT_FR
900228,T.3.GPV.Pu.Ag40t49,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 40 to 49 years",,,
900229,T.3.GPV.Pu.Ag50t59,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 50 to 59 years",,,
900230,T.3.GPV.Pu.Ag60p,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 60 or more years",,,
900231,T.3.GPV.Pu.Aguk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Age no specified",,,
900232,T.3.GPV.Pr.Ag20m,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged less than 20 years",,,
900233,T.3.GPV.Pr.Ag20t29,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 20 to 29 years",,,
900234,T.3.GPV.Pr.Ag30t39,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 30 to 39 years",,,
900235,T.3.GPV.Pr.Ag40t49,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 40 to 49 years",,,
900236,T.3.GPV.Pr.Ag50t59,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 50 to 59 years",,,
900237,T.3.GPV.Pr.Ag60p,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Aged 60 or more years",,,
900238,T.3.GPV.Pr.Aguk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Age no specified",,,
